"Statistic","Value"
"FathersIncrease_MatToPat_Estimate",0.86
"FathersIncrease_MatToPat_EstError",0.42
"FathersIncrease_MatToPat_CI_Lower",0.19
"FathersIncrease_MatToPat_CI_Upper",1.55
"FathersIncrease_MatToPat_OddsRatio",2.35
"FathersIncrease_MatToPat_OR_CI_Lower",1.21
"FathersIncrease_MatToPat_OR_CI_Upper",4.74
"FathersIncrease_MatToPat_EvidenceRatio",74
"FathersIncrease_MatToPat_PostProb",0.99
"MothersMatVsFathersPat_Estimate",1.49
"MothersMatVsFathersPat_EstError",0.56
"MothersMatVsFathersPat_CI_Lower",0.61
"MothersMatVsFathersPat_CI_Upper",2.43
"MothersMatVsFathersPat_OddsRatio",4.43
"MothersMatVsFathersPat_OR_CI_Lower",1.84
"MothersMatVsFathersPat_OR_CI_Upper",11.41
"MothersMatVsFathersPat_EvidenceRatio",999
"MothersMatVsFathersPat_PostProb",1
"MothersDecrease_MatToPat_Estimate",-0.44
"MothersDecrease_MatToPat_EstError",0.45
"MothersDecrease_MatToPat_CI_Lower",-1.21
"MothersDecrease_MatToPat_CI_Upper",0.25
"MothersDecrease_MatToPat_OddsRatio",0.64
"MothersDecrease_MatToPat_OR_CI_Lower",0.3
"MothersDecrease_MatToPat_OR_CI_Upper",1.28
"MothersDecrease_MatToPat_EvidenceRatio",5.6
"MothersDecrease_MatToPat_PostProb",0.85
"MothersVsFathers_MatLeave_Estimate",2.34
"MothersVsFathers_MatLeave_EstError",0.58
"MothersVsFathers_MatLeave_CI_Lower",1.44
"MothersVsFathers_MatLeave_CI_Upper",3.36
"MothersVsFathers_MatLeave_OddsRatio",10.43
"MothersVsFathers_MatLeave_OR_CI_Lower",4.22
"MothersVsFathers_MatLeave_OR_CI_Upper",28.87
"MothersVsFathers_MatLeave_EvidenceRatio",Inf
"MothersVsFathers_MatLeave_PostProb",1
"MothersVsFathers_PatLeave_Estimate",1.05
"MothersVsFathers_PatLeave_EstError",0.61
"MothersVsFathers_PatLeave_CI_Lower",0.05
"MothersVsFathers_PatLeave_CI_Upper",2.07
"MothersVsFathers_PatLeave_OddsRatio",2.85
"MothersVsFathers_PatLeave_OR_CI_Lower",1.05
"MothersVsFathers_PatLeave_OR_CI_Upper",7.93
"MothersVsFathers_PatLeave_EvidenceRatio",23.2
"MothersVsFathers_PatLeave_PostProb",0.96
"GenderGapDecrease_PatLeave_Estimate",-0.35
"GenderGapDecrease_PatLeave_EstError",0.55
"GenderGapDecrease_PatLeave_CI_Lower",-1.23
"GenderGapDecrease_PatLeave_CI_Upper",0.57
"GenderGapDecrease_PatLeave_OddsRatio",0.7
"GenderGapDecrease_PatLeave_OR_CI_Lower",0.29
"GenderGapDecrease_PatLeave_OR_CI_Upper",1.77
"GenderGapDecrease_PatLeave_EvidenceRatio",2.9
"GenderGapDecrease_PatLeave_PostProb",0.74
