"Statistic","Value"
"Mother_MaxDist_Decrease_Estimate",-0.05
"Mother_MaxDist_Decrease_CI_Lower",-0.12
"Mother_MaxDist_Decrease_CI_Upper",0.03
"Mother_MaxDist_Decrease_EvidenceRatio",8.1
"Mother_MaxDist_Decrease_PostProb",0.89
"Father_MaxDist_Decrease_Estimate",0.07
"Father_MaxDist_Decrease_CI_Lower",-0.1
"Father_MaxDist_Decrease_CI_Upper",0.29
"Father_MaxDist_Decrease_EvidenceRatio",0.3
"Father_MaxDist_Decrease_PostProb",0.22
"Mother_MaxDist_StayHome_Estimate",0.98
"Mother_MaxDist_StayHome_CI_Lower",0.92
"Mother_MaxDist_StayHome_CI_Upper",1.04
"Mother_MaxDist_StayHome_EvidenceRatio",0.4
"Mother_MaxDist_StayHome_PostProb",0.29
"Mother_MaxDist_StayHome_OddsRatio",2.66
"Mother_MaxDist_StayHome_OR_CI_Lower",2.51
"Mother_MaxDist_StayHome_OR_CI_Upper",2.83
"Father_MaxDist_StayHome_Estimate",1.11
"Father_MaxDist_StayHome_CI_Lower",1.01
"Father_MaxDist_StayHome_CI_Upper",1.26
"Father_MaxDist_StayHome_EvidenceRatio",67.2
"Father_MaxDist_StayHome_PostProb",0.99
"Father_MaxDist_StayHome_OddsRatio",3.03
"Father_MaxDist_StayHome_OR_CI_Lower",2.75
"Father_MaxDist_StayHome_OR_CI_Upper",3.53
"Mother_HomeTime_Increase_Estimate",0.03
"Mother_HomeTime_Increase_CI_Lower",-0.02
"Mother_HomeTime_Increase_CI_Upper",0.08
"Mother_HomeTime_Increase_EvidenceRatio",11
"Mother_HomeTime_Increase_PostProb",0.92
"Father_HomeTime_Increase_Estimate",0.03
"Father_HomeTime_Increase_CI_Lower",-0.08
"Father_HomeTime_Increase_CI_Upper",0.16
"Father_HomeTime_Increase_EvidenceRatio",2.2
"Father_HomeTime_Increase_PostProb",0.69
"Mother_HomeTime_CompleteStay_Estimate",1.15
"Mother_HomeTime_CompleteStay_CI_Lower",0.97
"Mother_HomeTime_CompleteStay_CI_Upper",1.47
"Mother_HomeTime_CompleteStay_EvidenceRatio",17.6
"Mother_HomeTime_CompleteStay_PostProb",0.95
"Mother_HomeTime_CompleteStay_OddsRatio",3.16
"Mother_HomeTime_CompleteStay_OR_CI_Lower",2.64
"Mother_HomeTime_CompleteStay_OR_CI_Upper",4.35
"Father_HomeTime_CompleteStay_Estimate",1.31
"Father_HomeTime_CompleteStay_CI_Lower",0.99
"Father_HomeTime_CompleteStay_CI_Upper",2.36
"Father_HomeTime_CompleteStay_EvidenceRatio",29.3
"Father_HomeTime_CompleteStay_PostProb",0.97
"Father_HomeTime_CompleteStay_OddsRatio",3.71
"Father_HomeTime_CompleteStay_OR_CI_Lower",2.69
"Father_HomeTime_CompleteStay_OR_CI_Upper",10.59
"Mother_LocVar_Decrease_Estimate",-0.09
"Mother_LocVar_Decrease_CI_Lower",-0.23
