"","Statistic","Value"
"1","FatherNotOnLeaveMean",2.85797173032307
"2","FatherOnLeaveMean",1.00169247554201
"3","MotherNotOnLeaveMean",2.87716702795096
"4","MotherOnLeaveMean",1.06025996641889
"5","FatherNotOnLeaveCI_Lower",1.38795322841943
"6","FatherNotOnLeaveCI_Upper",4.77896486523037
"7","FatherOnLeaveCI_Lower",0.172664939070475
"8","FatherOnLeaveCI_Upper",2.53159468295168
"9","MotherNotOnLeaveCI_Lower",1.30171861726622
"10","MotherNotOnLeaveCI_Upper",4.90641966493767
"11","MotherOnLeaveCI_Lower",0.440004630151549
"12","MotherOnLeaveCI_Upper",1.92488324179354
