"Statistic","Value"
"FathersDecrease_MatToPat_Estimate",-0.69
"FathersDecrease_MatToPat_EstError",0.31
"FathersDecrease_MatToPat_CI_Lower",-1.22
"FathersDecrease_MatToPat_CI_Upper",-0.18
"FathersDecrease_MatToPat_OddsRatio",0.5
"FathersDecrease_MatToPat_OR_CI_Lower",0.3
"FathersDecrease_MatToPat_OR_CI_Upper",0.83
"FathersDecrease_MatToPat_EvidenceRatio",82.3
"FathersDecrease_MatToPat_PostProb",0.99
"MothersMatVsFathersPat_Estimate",-0.31
"MothersMatVsFathersPat_EstError",0.37
"MothersMatVsFathersPat_CI_Lower",-0.9
"MothersMatVsFathersPat_CI_Upper",0.3
"MothersMatVsFathersPat_OddsRatio",0.73
"MothersMatVsFathersPat_OR_CI_Lower",0.41
"MothersMatVsFathersPat_OR_CI_Upper",1.36
"MothersMatVsFathersPat_EvidenceRatio",4
"MothersMatVsFathersPat_PostProb",0.8
"MothersIncrease_MatToPat_Estimate",0.86
"MothersIncrease_MatToPat_EstError",0.35
"MothersIncrease_MatToPat_CI_Lower",0.3
"MothersIncrease_MatToPat_CI_Upper",1.46
"MothersIncrease_MatToPat_OddsRatio",2.37
"MothersIncrease_MatToPat_OR_CI_Lower",1.35
"MothersIncrease_MatToPat_OR_CI_Upper",4.3
"MothersIncrease_MatToPat_EvidenceRatio",199
"MothersIncrease_MatToPat_PostProb",1
"MothersVsFathers_MatLeave_Estimate",-1.01
"MothersVsFathers_MatLeave_EstError",0.32
"MothersVsFathers_MatLeave_CI_Lower",-1.54
"MothersVsFathers_MatLeave_CI_Upper",-0.48
"MothersVsFathers_MatLeave_OddsRatio",0.37
"MothersVsFathers_MatLeave_OR_CI_Lower",0.21
"MothersVsFathers_MatLeave_OR_CI_Upper",0.62
"MothersVsFathers_MatLeave_EvidenceRatio",749
"MothersVsFathers_MatLeave_PostProb",1
"MothersVsFathers_PatLeave_Estimate",0.55
"MothersVsFathers_PatLeave_EstError",0.43
"MothersVsFathers_PatLeave_CI_Lower",-0.16
"MothersVsFathers_PatLeave_CI_Upper",1.26
"MothersVsFathers_PatLeave_OddsRatio",1.73
"MothersVsFathers_PatLeave_OR_CI_Lower",0.85
"MothersVsFathers_PatLeave_OR_CI_Upper",3.51
"MothersVsFathers_PatLeave_EvidenceRatio",8.8
"MothersVsFathers_PatLeave_PostProb",0.9
"GenderGapDecrease_PatLeave_Estimate",0.17
"GenderGapDecrease_PatLeave_EstError",0.47
"GenderGapDecrease_PatLeave_CI_Lower",-0.62
"GenderGapDecrease_PatLeave_CI_Upper",0.91
"GenderGapDecrease_PatLeave_OddsRatio",1.19
"GenderGapDecrease_PatLeave_OR_CI_Lower",0.54
"GenderGapDecrease_PatLeave_OR_CI_Upper",2.49
"GenderGapDecrease_PatLeave_EvidenceRatio",0.6
"GenderGapDecrease_PatLeave_PostProb",0.36
