"Statistic","Value"
"Mother_MaxDist_Decrease_Estimate",0
"Mother_MaxDist_Decrease_CI_Lower",-0.23
"Mother_MaxDist_Decrease_CI_Upper",0.19
"Mother_MaxDist_Decrease_EvidenceRatio",1
"Mother_MaxDist_Decrease_PostProb",0.51
"Father_MaxDist_Decrease_Estimate",-0.44
"Father_MaxDist_Decrease_CI_Lower",-0.76
"Father_MaxDist_Decrease_CI_Upper",-0.15
"Father_MaxDist_Decrease_EvidenceRatio",999
"Father_MaxDist_Decrease_PostProb",1
"Mother_MaxDist_StayHome_Estimate",1.03
"Mother_MaxDist_StayHome_CI_Lower",0.89
"Mother_MaxDist_StayHome_CI_Upper",1.2
"Mother_MaxDist_StayHome_EvidenceRatio",1.8
"Mother_MaxDist_StayHome_PostProb",0.65
"Mother_MaxDist_StayHome_OddsRatio",2.8
"Mother_MaxDist_StayHome_OR_CI_Lower",2.44
"Mother_MaxDist_StayHome_OR_CI_Upper",3.32
"Father_MaxDist_StayHome_Estimate",0.81
"Father_MaxDist_StayHome_CI_Lower",0.63
"Father_MaxDist_StayHome_CI_Upper",0.98
"Father_MaxDist_StayHome_EvidenceRatio",74
"Father_MaxDist_StayHome_PostProb",0.99
"Father_MaxDist_StayHome_OddsRatio",2.25
"Father_MaxDist_StayHome_OR_CI_Lower",1.88
"Father_MaxDist_StayHome_OR_CI_Upper",2.66
"Mother_HomeTime_Increase_Estimate",0.06
"Mother_HomeTime_Increase_CI_Lower",-0.08
"Mother_HomeTime_Increase_CI_Upper",0.19
"Mother_HomeTime_Increase_EvidenceRatio",4.7
"Mother_HomeTime_Increase_PostProb",0.83
"Father_HomeTime_Increase_Estimate",-0.06
"Father_HomeTime_Increase_CI_Lower",-0.28
"Father_HomeTime_Increase_CI_Upper",0.13
"Father_HomeTime_Increase_EvidenceRatio",0.3
"Father_HomeTime_Increase_PostProb",0.26
"Mother_HomeTime_CompleteStay_Estimate",1.31
"Mother_HomeTime_CompleteStay_CI_Lower",0.79
"Mother_HomeTime_CompleteStay_CI_Upper",2.93
"Mother_HomeTime_CompleteStay_EvidenceRatio",5.5
"Mother_HomeTime_CompleteStay_PostProb",0.85
"Mother_HomeTime_CompleteStay_OddsRatio",3.71
"Mother_HomeTime_CompleteStay_OR_CI_Lower",2.2
"Mother_HomeTime_CompleteStay_OR_CI_Upper",18.73
"Father_HomeTime_CompleteStay_Estimate",0.85
"Father_HomeTime_CompleteStay_CI_Lower",0.51
"Father_HomeTime_CompleteStay_CI_Upper",1.36
"Father_HomeTime_CompleteStay_EvidenceRatio",0.3
"Father_HomeTime_CompleteStay_PostProb",0.24
"Father_HomeTime_CompleteStay_OddsRatio",2.34
"Father_HomeTime_CompleteStay_OR_CI_Lower",1.67
"Father_HomeTime_CompleteStay_OR_CI_Upper",3.9
"Mother_LocVar_Decrease_Estimate",0.08
"Mother_LocVar_Decrease_CI_Lower",-0.25
"Mother_LocVar_Decrease_CI_Upper",0.37
"Mother_LocVar_Decrease_EvidenceRatio",0.4
"Mother_LocVar_Decrease_PostProb",0.31
"Father_LocVar_Decrease_Estimate",0.15
"Father_LocVar_Decrease_CI_Lower",-0.32
"Father_LocVar_Decrease_CI_Upper",0.61
"Father_LocVar_Decrease_EvidenceRatio",0.3
"Father_LocVar_Decrease_PostProb",0.24
"Mother_LocVar_StayHome_Estimate",1.05
"Mother_LocVar_StayHome_CI_Lower",0.84
"Mother_LocVar_StayHome_CI_Upper",1.49
"Mother_LocVar_StayHome_EvidenceRatio",1.9
"Mother_LocVar_StayHome_PostProb",0.65
"Mother_LocVar_StayHome_OddsRatio",2.86
"Mother_LocVar_StayHome_OR_CI_Lower",2.32
"Mother_LocVar_StayHome_OR_CI_Upper",4.44
"Father_LocVar_StayHome_Estimate",1.09
"Father_LocVar_StayHome_CI_Lower",0.8
"Father_LocVar_StayHome_CI_Upper",1.5
"Father_LocVar_StayHome_EvidenceRatio",2.6
"Father_LocVar_StayHome_PostProb",0.72
"Father_LocVar_StayHome_OddsRatio",2.97
"Father_LocVar_StayHome_OR_CI_Lower",2.23
"Father_LocVar_StayHome_OR_CI_Upper",4.48
"MotherVsFather_MaxDist_GreaterDecrease_Estimate",0.45
"MotherVsFather_MaxDist_GreaterDecrease_CI_Lower",0.09
"MotherVsFather_MaxDist_GreaterDecrease_CI_Upper",0.81
"MotherVsFather_MaxDist_GreaterDecrease_EvidenceRatio",0
"MotherVsFather_MaxDist_GreaterDecrease_PostProb",0.01
"MotherVsFather_MaxDist_SmallerStayOdds_Estimate",0.25
"MotherVsFather_MaxDist_SmallerStayOdds_CI_Lower",0
"MotherVsFather_MaxDist_SmallerStayOdds_CI_Upper",0.52
"MotherVsFather_MaxDist_SmallerStayOdds_EvidenceRatio",0
"MotherVsFather_MaxDist_SmallerStayOdds_PostProb",0.03
"MotherVsFather_MaxDist_SmallerStayOdds_OddsRatio",1.28
"MotherVsFather_MaxDist_SmallerStayOdds_OR_CI_Lower",1
"MotherVsFather_MaxDist_SmallerStayOdds_OR_CI_Upper",1.68
"MotherVsFather_HomeTime_GreaterIncrease_Estimate",0.12
"MotherVsFather_HomeTime_GreaterIncrease_CI_Lower",-0.1
"MotherVsFather_HomeTime_GreaterIncrease_CI_Upper",0.37
"MotherVsFather_HomeTime_GreaterIncrease_EvidenceRatio",6.2
"MotherVsFather_HomeTime_GreaterIncrease_PostProb",0.86
"MotherVsFather_HomeTime_HigherStayOdds_Estimate",0.45
"MotherVsFather_HomeTime_HigherStayOdds_CI_Lower",-0.27
"MotherVsFather_HomeTime_HigherStayOdds_CI_Upper",1.35
"MotherVsFather_HomeTime_HigherStayOdds_EvidenceRatio",8.2
"MotherVsFather_HomeTime_HigherStayOdds_PostProb",0.89
"MotherVsFather_HomeTime_HigherStayOdds_OddsRatio",1.57
"MotherVsFather_HomeTime_HigherStayOdds_OR_CI_Lower",0.76
"MotherVsFather_HomeTime_HigherStayOdds_OR_CI_Upper",3.86
"MotherVsFather_LocVar_GreaterDecrease_Estimate",-0.08
"MotherVsFather_LocVar_GreaterDecrease_CI_Lower",-0.63
"MotherVsFather_LocVar_GreaterDecrease_CI_Upper",0.46
"MotherVsFather_LocVar_GreaterDecrease_EvidenceRatio",1.6
"MotherVsFather_LocVar_GreaterDecrease_PostProb",0.62
"MotherVsFather_LocVar_HigherStayOdds_Estimate",-0.03
"MotherVsFather_LocVar_HigherStayOdds_CI_Lower",-0.44
"MotherVsFather_LocVar_HigherStayOdds_CI_Upper",0.43
"MotherVsFather_LocVar_HigherStayOdds_EvidenceRatio",0.8
"MotherVsFather_LocVar_HigherStayOdds_PostProb",0.44
"MotherVsFather_LocVar_HigherStayOdds_OddsRatio",0.97
"MotherVsFather_LocVar_HigherStayOdds_OR_CI_Lower",0.64
"MotherVsFather_LocVar_HigherStayOdds_OR_CI_Upper",1.54
