"Statistic","Value"
"Mother_MaxDist_Decrease_Estimate",0.03
"Mother_MaxDist_Decrease_CI_Lower",-0.19
"Mother_MaxDist_Decrease_CI_Upper",0.23
"Mother_MaxDist_Decrease_EvidenceRatio",1.5
"Mother_MaxDist_Decrease_PostProb",0.61
"Father_MaxDist_Decrease_Estimate",-0.43
"Father_MaxDist_Decrease_CI_Lower",-0.74
"Father_MaxDist_Decrease_CI_Upper",-0.12
"Father_MaxDist_Decrease_EvidenceRatio",249
"Father_MaxDist_Decrease_PostProb",1
"Mother_MaxDist_StayHome_Estimate",1.04
"Mother_MaxDist_StayHome_CI_Lower",0.9
"Mother_MaxDist_StayHome_CI_Upper",1.22
"Mother_MaxDist_StayHome_EvidenceRatio",2.5
"Mother_MaxDist_StayHome_PostProb",0.71
"Mother_MaxDist_StayHome_OddsRatio",2.83
"Mother_MaxDist_StayHome_OR_CI_Lower",2.46
"Mother_MaxDist_StayHome_OR_CI_Upper",3.39
"Father_MaxDist_StayHome_Estimate",0.86
"Father_MaxDist_StayHome_CI_Lower",0.68
"Father_MaxDist_StayHome_CI_Upper",1.07
"Father_MaxDist_StayHome_EvidenceRatio",10.3
"Father_MaxDist_StayHome_PostProb",0.91
"Father_MaxDist_StayHome_OddsRatio",2.36
"Father_MaxDist_StayHome_OR_CI_Lower",1.97
"Father_MaxDist_StayHome_OR_CI_Upper",2.92
"Mother_HomeTime_Increase_Estimate",0.09
"Mother_HomeTime_Increase_CI_Lower",-0.05
"Mother_HomeTime_Increase_CI_Upper",0.22
"Mother_HomeTime_Increase_EvidenceRatio",8.8
"Mother_HomeTime_Increase_PostProb",0.9
"Father_HomeTime_Increase_Estimate",-0.02
"Father_HomeTime_Increase_CI_Lower",-0.24
"Father_HomeTime_Increase_CI_Upper",0.22
"Father_HomeTime_Increase_EvidenceRatio",0.8
"Father_HomeTime_Increase_PostProb",0.43
"Mother_HomeTime_CompleteStay_Estimate",1.17
"Mother_HomeTime_CompleteStay_CI_Lower",0.7
"Mother_HomeTime_CompleteStay_CI_Upper",2.57
"Mother_HomeTime_CompleteStay_EvidenceRatio",2.5
"Mother_HomeTime_CompleteStay_PostProb",0.72
"Mother_HomeTime_CompleteStay_OddsRatio",3.22
"Mother_HomeTime_CompleteStay_OR_CI_Lower",2.01
"Mother_HomeTime_CompleteStay_OR_CI_Upper",13.07
"Father_HomeTime_CompleteStay_Estimate",0.86
"Father_HomeTime_CompleteStay_CI_Lower",0.46
"Father_HomeTime_CompleteStay_CI_Upper",1.38
"Father_HomeTime_CompleteStay_EvidenceRatio",0.4
"Father_HomeTime_CompleteStay_PostProb",0.26
"Father_HomeTime_CompleteStay_OddsRatio",2.36
"Father_HomeTime_CompleteStay_OR_CI_Lower",1.58
"Father_HomeTime_CompleteStay_OR_CI_Upper",3.97
"Mother_LocVar_Decrease_Estimate",-0.02
"Mother_LocVar_Decrease_CI_Lower",-0.22
